date,D_days,tau,n_strikes,alpha,rho,nu,vol_rmse
2023-02-14,29,0.07945205479452055,47,0.16847325347147737,-0.5424979894599473,2.1218774841776837,0.004570909422061043
2023-02-14,31,0.08493150684931507,672,0.14999336392423454,-0.4699941249049166,3.0610561588597607,0.019199606523011514
2023-02-14,34,0.09315068493150686,59,0.16332327399909763,-0.5498269060676916,2.2974699434962385,0.00482803125298392
2023-02-14,38,0.10410958904109589,142,0.17291499630763651,-0.5884532320619854,2.3568846870786637,0.007322716037356542
2023-02-14,45,0.1232876712328767,368,0.16090345903691214,-0.5953614511752661,2.4823952450152045,0.013051529034229587
2023-02-14,59,0.16164383561643836,92,0.16931698775430024,-0.6289513559753744,2.184834083502867,0.009033230777121202
2023-02-14,66,0.18082191780821918,584,0.15486110229572955,-0.6651334034460148,2.58229578585374,0.024540669026355814
2023-02-14,73,0.2,291,0.15563090813366343,-0.5846168664475442,2.4275101229856926,0.02076281936470385
2023-02-14,94,0.25753424657534246,527,0.17305498360636015,-0.6890041029094145,1.831479681040706,0.010267054700892094
2023-02-14,106,0.29041095890410956,166,0.16873636310549772,-0.6451975674552286,1.7779352583490025,0.014695934554901645
2023-02-14,122,0.33424657534246577,491,0.17949185590560568,-0.7231371727263403,1.5887335435620025,0.009728816187819763
2023-02-14,136,0.3726027397260274,322,0.16749400952267546,-0.6044816789823171,1.769792154221928,0.017353594047780318
2023-02-14,157,0.4301369863013699,207,0.1699176765825903,-0.6796914269102146,1.7364499984834951,0.0228364943918399
2023-02-14,167,0.4575342465753425,127,0.1769501960884384,-0.6620587558064917,1.5724489208070658,0.01246999410170925
2023-02-14,185,0.5068493150684932,127,0.17283714365461783,-0.7262071920610167,1.528487108544286,0.019341565549261364
2023-02-14,213,0.5835616438356165,136,0.1859293913433446,-0.7589724289384288,1.2530870777316412,0.00978946276522269
2023-02-14,227,0.6219178082191781,102,0.1809115244403583,-0.6855216780971898,1.3120310778276267,0.013219062330843615
2023-02-14,248,0.6794520547945205,111,0.1709050875950623,-0.72193422022643,1.4794548969310306,0.02996858419136852
